ep04_opening|哈喽！May姐又嚟喇！今日好重要！
ep04_s1_01|今日教你搭的士同睇医生。
ep04_s1_02|呢两个场景系你喺香港最需要嘅保命技能！
ep04_s1_03|先教搭的士。
ep04_s2_01|上车第一句：
ep04_s2_02|唔该，去尖沙咀。
ep04_s2_03|如果你想去近啲嘅地方，可以讲：前面路口落车。
ep04_s2_04|前面等于前面。路口等于路口。落车等于下车。
ep04_s3_01|有几句好有用：
ep04_s3_02|转左等于左转。转右等于右转。
ep04_s3_03|停呢度等于停这里。呢度落等于这里下车。
ep04_s3_04|记住：的士叔叔唔会翻白眼嘅，大胆讲就得！
ep04_s4_01|而家教你睇医生嘅粤语。
ep04_s4_02|最重要嘅一句：我唔舒服。
ep04_s4_03|讲完呢句，医生就会问你：边度唔舒服？
ep04_s4_04|常见症状：发烧、肚痛、头痛、咳、流鼻水。
ep04_s4_05|记住痛字，边度痛就讲边度！肚痛、头痛、喉咙痛、牙痛、胃痛。
ep04_s4_06|医生仲会问：有冇敏感？呢度敏感等于过敏！唔系问你恋爱故事！
ep04_repeat_00|跟我读！
ep04_repeat_01|唔该，去尖沙咀。
ep04_repeat_02|前面路口落车。
ep04_repeat_03|我唔舒服，肚痛。
ep04_repeat_04|有冇敏感？冇。
ep04_ending_01|搞掂！呢两个保命技能你学识喇！
ep04_ending_02|下集教你叫外卖！关注搞掂粤语，下集见！
