ep05_opening|同学们好！今日May姐教你叫外卖！
ep05_s1_01|喺香港叫外卖，最常用Foodpanda同Deliveroo。
ep05_s1_02|APP上面落单好简单，但问题系外卖员打电话嚟你听唔明！
ep05_s1_03|今日就教你电话点应对。
ep05_s2_01|外卖员最常问嘅三句话：
ep05_s2_02|第一：你喺边度？等于你在哪里？
ep05_s2_03|你答：我喺楼下大堂。
ep05_s2_04|第二：边个门口？等于哪个门口？你答：正门。
ep05_s2_05|第三：落嚟攞定我送上去？等于你下来拿还是我送上去？
ep05_s3_01|外卖必识词！
ep05_s3_02|叫外卖等于叫外卖。落单等于下单。
ep05_s3_03|走辣等于不要辣。加饭等于加饭。
ep05_s3_04|攞等于拿。落嚟攞等于下来拿。
ep05_s4_01|完整电话示范！
ep05_s4_02|外卖员：喂，Foodpanda，请问你系边度？
ep05_s4_03|你答：我喺海富花园三座大堂等。
ep05_s4_04|外卖员：好，五分钟到。你答：唔该晒！
ep05_s4_05|搞掂！就系咁简单！
ep05_repeat_00|跟我读！
ep05_repeat_01|我喺楼下大堂。
ep05_repeat_02|走辣，唔该。
ep05_repeat_03|唔该晒！
ep05_ending_01|下一集教你用粤语做自我介绍！
ep05_ending_02|关注搞掂粤语，下集见！
